Arquitectura,Capas ocultas,Val RMSE (log),Val RMSE (USD),Mejor época
deep,"[256, 128, 64, 32]",0.3156179896973935,55991.753992925725,74
medium,"[128, 64]",0.5010400448404123,75090.26493229123,101
shallow,[64],1.3190319794240466,7895837592.940606,44
