modelo,RMSE_USD,MAE_USD,R2
Ridge alpha=100.0,31360.028571415554,17295.587890625,0.8204531669616699
Ridge alpha=30.0,31379.978330139107,16878.876953125,0.8202246427536011
Ridge alpha=10.0,32085.873776476776,17397.869140625,0.8120455741882324
Ridge alpha=1.0,36495.30906842686,18791.76953125,0.7568361759185791
Ridge alpha=0.1,42351.13259406412,19916.5,0.6725425124168396
LinearRegression,44359.81893560883,20586.380859375,0.6407436728477478
